Rank	Train Score	Test Score	Best Features
1	0.8307104467584817	0.8281352345442636	['cat__eVitals_29_Not Applicable']
2	0.8307104467584817	0.8281352345442636	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable']
3	0.8307104467584817	0.8281352345442636	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)']
4	0.8307104467584817	0.8281352345442636	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ']
5	0.8312395028552234	0.8297223761777599	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)']
6	0.8313570708767215	0.8296971834534187	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001']
7	0.8293920053745382	0.827706958230463	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ']
8	0.8295431642593215	0.8278077291278279	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation']
9	0.8292996305005038	0.827933692749534	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__eProcedures_02_9923001']
10	0.8344978165938864	0.8325943467526579	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__eProcedures_02_9923001', 'cat__eProcedures_02_9923001']
11	0.8387134699361773	0.8357686300196503	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__eProcedures_02_9923001', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ']
12	0.8349596909640578	0.8320401068171512	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__eProcedures_02_9923001', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable']
13	0.8408884783338931	0.8371542298584169	['cat__eVitals_29_Not Applicable', 'cat__eScene_08_Not Applicable', 'cat__eVitals_20_No verbal/vocal response (All Age Groups)', 'cat__NasemsoRegion_East          ', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eMedications_02_9923001', 'cat__USCensusRegion_South    ', 'cat__eVitals_21_Obeys commands (>2Years); Appropriate response to stimulation', 'cat__eProcedures_02_9923001', 'cat__eProcedures_02_9923001', 'cat__USCensusRegion_Midwest  ', 'cat__eMedications_02_Not Applicable', 'cat__eMedications_02_Not Applicable']
