Feature	{scoringMetric}	P-Value
cat__USCensusRegion_         	0.0001828408497603906	None
cat__USCensusRegion_Midwest  	0.0033177229301433186	None
cat__USCensusRegion_Northeast	0.0024157768882901998	None
cat__USCensusRegion_South    	0.01763239479379597	None
cat__USCensusRegion_West     	0.002386717729454757	None
cat__USCensusDivision_                  	0.0	None
cat__USCensusDivision_East North Central	0.0022356113673047684	None
cat__USCensusDivision_East South Central	0.001877737667628443	None
cat__USCensusDivision_Middle Atlantic   	0.002389132860318277	None
cat__USCensusDivision_Mountain          	0.0	None
cat__USCensusDivision_New England       	0.0	None
cat__USCensusDivision_Pacific           	0.0007402886496941097	None
cat__USCensusDivision_South Atlantic    	0.005899250911902687	None
cat__USCensusDivision_West North Central	0.0011761468993318758	None
cat__USCensusDivision_West South Central	0.0010284230472443756	None
cat__NasemsoRegion_              	0.0007547579409392657	None
cat__NasemsoRegion_East          	0.005569065871424472	None
cat__NasemsoRegion_Great Lakes   	0.0022123618954768	None
cat__NasemsoRegion_South         	0.013149826851164503	None
cat__NasemsoRegion_West          	0.002687243414067675	None
cat__NasemsoRegion_Western Plains	0.00021132453124006467	None
cat__Urbanicity_          	0.0	None
cat__Urbanicity_Rural     	0.0	None
cat__Urbanicity_Suburban  	0.000802092877511873	None
cat__Urbanicity_Urban     	0.022398746889100263	None
cat__Urbanicity_Wilderness	0.000194551907408691	None
cat__eDispatch_02_No	0.0013506241522955875	None
cat__eDispatch_02_Not Applicable	0.00023481142407777433	None
cat__eDispatch_02_Not Recorded	0.01426110359692867	None
cat__eDispatch_02_Yes, Unknown if Pre-Arrival Instructions Given	0.003436944438205858	None
cat__eDispatch_02_Yes, With Pre-Arrival Instructions	0.003855924609541539	None
cat__eDispatch_02_Yes, Without Pre-Arrival Instructions	0.0007872549536218632	None
cat__eArrest_01_Yes, After EMS Arrival	0.01315931634971057	None
cat__eArrest_01_Yes, Prior to EMS Arrival	0.03261359754648452	None
cat__eArrest_02_Cardiac (Presumed)	0.027856448506920373	None
cat__eArrest_02_Drowning/Submersion	0.0014825685180457349	None
cat__eArrest_02_Drug Overdose	0.0025749045240872626	None
cat__eArrest_02_Electrocution	0.0	None
cat__eArrest_02_Exsanguination	0.0011643931437170796	None
